epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2299,0.51074,2.97599,1.09083,0.09254,1,0.1672,0.1556,0.46189,2.46783,0.47618,0.000184741,0.000184741,0.000184741
2,61.7132,0.29185,1.47291,0.98215,0.38041,0.61088,0.20871,0.20265,0.31814,1.40048,0.8422,0.000368617,0.000368617,0.000368617
3,88.7978,0.24316,1.21098,0.95729,0.45178,0.56472,0.25942,0.25408,0.31877,1.2439,0.85989,0.000546692,0.000546692,0.000546692
4,115.817,0.21607,1.16792,0.94048,0.30836,0.59359,0.26432,0.25497,0.33148,1.19289,0.90131,0.000536497,0.000536497,0.000536497
5,142.624,0.2014,1.14265,0.93121,0.38553,0.53506,0.28471,0.27648,0.25038,1.13023,0.90846,0.000521648,0.000521648,0.000521648
6,169.29,0.18691,1.11113,0.92582,0.50524,0.50038,0.31445,0.30592,0.29333,1.2622,0.92244,0.00050296,0.00050296,0.00050296
7,196.079,0.17337,1.08863,0.91986,0.55349,0.47039,0.32606,0.32117,0.28964,1.07686,0.91236,0.000480729,0.000480729,0.000480729
8,222.932,0.16684,1.07605,0.9178,0.46637,0.51032,0.31092,0.30538,0.22412,1.18015,0.8676,0.000455305,0.000455305,0.000455305
9,249.895,0.16066,1.05589,0.91412,0.51227,0.52673,0.32286,0.31292,0.30554,1.09243,0.83766,0.000427089,0.000427089,0.000427089
10,276.536,0.15587,1.05409,0.91248,0.44594,0.50601,0.36484,0.36164,0.23786,1.04062,0.90106,0.000396526,0.000396526,0.000396526
11,303.377,0.14758,1.02672,0.90899,0.53989,0.48259,0.3403,0.32231,0.26906,1.04899,0.9368,0.000364099,0.000364099,0.000364099
12,329.65,0.14116,1.02016,0.91002,0.48325,0.5616,0.37252,0.36863,0.26728,0.98086,0.84097,0.000330318,0.000330318,0.000330318
13,356.471,0.13619,1.00167,0.90805,0.41758,0.58066,0.36915,0.36307,0.27946,1.05214,0.82464,0.000295716,0.000295716,0.000295716
14,383.064,0.12889,0.99399,0.90637,0.4071,0.6313,0.38014,0.37309,0.28851,0.97704,0.82948,0.00026084,0.00026084,0.00026084
15,409.848,0.12633,0.98179,0.90429,0.45344,0.62523,0.38397,0.37896,0.25367,1.05447,0.87183,0.000226238,0.000226238,0.000226238
16,437.429,0.08213,0.90526,0.9188,0.40961,0.58591,0.39807,0.38794,0.2528,0.92819,0.86643,0.000192457,0.000192457,0.000192457
17,463.641,0.06776,0.81913,0.91277,0.4563,0.6488,0.39827,0.38742,0.26915,0.96405,0.89085,0.00016003,0.00016003,0.00016003
18,489.298,0.06142,0.7904,0.91087,0.4684,0.60557,0.41142,0.40042,0.25708,0.8943,0.85246,0.000129467,0.000129467,0.000129467
19,515.158,0.05771,0.76835,0.9099,0.46888,0.62899,0.41583,0.40616,0.23755,0.88083,0.85698,0.000101251,0.000101251,0.000101251
20,541.217,0.05316,0.74734,0.91121,0.4765,0.64201,0.42434,0.41157,0.25435,0.86964,0.85179,7.58274e-05,7.58274e-05,7.58274e-05
21,567.558,0.04971,0.73018,0.91501,0.49095,0.6515,0.42031,0.4089,0.26017,0.86024,0.84692,5.35962e-05,5.35962e-05,5.35962e-05
22,594.137,0.04648,0.71481,0.91278,0.48025,0.6383,0.41905,0.40432,0.24919,0.87718,0.85712,3.49084e-05,3.49084e-05,3.49084e-05
23,620.531,0.04552,0.71185,0.91171,0.48348,0.62953,0.41562,0.40561,0.24723,0.86611,0.8448,2.00586e-05,2.00586e-05,2.00586e-05
24,646.302,0.04439,0.70392,0.90989,0.47908,0.61195,0.41294,0.40127,0.24443,0.8619,0.84961,9.28115e-06,9.28115e-06,9.28115e-06
25,672.315,0.0452,0.70042,0.90444,0.47483,0.63615,0.4133,0.40041,0.2458,0.86336,0.84188,2.74592e-06,2.74592e-06,2.74592e-06
